Id,Name,Applications__c,Brand_Name__c,Chemical_Name__c,Applicants__c,Funding_requested_for__c,Stage__c,Pharmaceutical__c,Community_URL__c,Therapeutic_group__c
a0ROZ000004h8ks2AA,G6 continuous glucose monitoring device,A-03844 A-03871,Dexcom,G6 continuous glucose monitoring device,"New Zealand Medical and Scientific, Consumer",Type 1 Diabetes,Decision,G6 continuous glucose monitoring device (Dexcom),/apptracker/s/application-public/a102P00000BB9Fr,Alimentary Tract and Metabolism
a0R2P000000LmkKUAS,Galsulfase,A-00327,,Galsulfase,BioMarin Pharmaceutical Australia Ltd,Mucopolysaccharidosis VI (Maroteaux-Lamy syndrome),Decision,Galsulfase,/apptracker/s/application-public/a102P000008pucZ,Alimentary Tract and Metabolism
a0ROZ000004C8Ir2AK,Glucose solution with complex carbohydrate biscuit,A-00594,,Glucose solution with complex carbohydrate biscuit,AJW Enterprises Ltd,Hypoglycemia,Under Assessment,Glucose solution with complex carbohydrate biscuit,/apptracker/s/application-public/a102P000008puGg,Alimentary Tract and Metabolism
a0R2P000000LmguUAC,Glyceryl trinitrate 0.2%,A-01227,Rectogesic,Glyceryl trinitrate 0.2%,Care Pharmaceuticals Australia,Anal fissure,Decision,Glyceryl trinitrate 0.2% (Rectogesic),/apptracker/s/application-public/a102P000008ptpu,Alimentary Tract and Metabolism
a0R2P000000TEnJUAW,Glycopyrronium bromide injection,A-01398,,Glycopyrronium bromide injection,NPPA,Open listing (palliative care),Decision,Glycopyrronium bromide injection,/apptracker/s/application-public/a102P000008pu4E,Alimentary Tract and Metabolism
a0R2P000000anZTUAY,Golimumab,A-00519,,Golimumab,Janssen,"Ulcerative colitis, moderate to severe",Decision,Golimumab,/apptracker/s/application-public/a102P000008puDx,Alimentary Tract and Metabolism
a0ROZ0000052sCj2AI,Idursulfase,A-00890,Elaprase,Idursulfase,Clinician,Hunter syndrome - patients with mucopolysaccharidosis II (MPS II),Seeking Clinical Advice,Idursulfase (Elaprase),/apptracker/s/application-public/a102P000008puWU,Alimentary Tract and Metabolism
a0R2P000000N6iLUAS,Imiglucerase,A-01005,Cerezyme,Imiglucerase,Clinician,"Gaucher disease - type 1, children with 2+ systems",Decision,Imiglucerase (Cerezyme),/apptracker/s/application-public/a102P000008ptpw,Alimentary Tract and Metabolism
a0R2P000000N6iRUAS,Imiglucerase,A-01075,Cerezyme,Imiglucerase,Clinician,Gaucher disease - type 3,Decision,Imiglucerase (Cerezyme),/apptracker/s/application-public/a102P000008pugF,Alimentary Tract and Metabolism
a0R2P000000ePXfUAM,Infliximab,A-00643,,Infliximab,Clinician,Crohn's disease and ulcerative colitis - widening access (dose escalation),Under Assessment,Infliximab,/apptracker/s/application-public/a102P00000AlWG7,Alimentary Tract and Metabolism
a0ROZ000009J1fx2AC,Insujet,A-00367,,Insujet,Pharmaco (NZ) Ltd,Insulin administration,Decision,Insujet,/apptracker/s/application-public/a102P000008ptwy,Alimentary Tract and Metabolism
a0R2P000000LmUcUAK,Insulin aspart,A-01180,NovoRapid,Insulin aspart,Novo Nordisk,Type I diabetes mellitus,Decision,Insulin aspart (NovoRapid),/apptracker/s/application-public/a102P000008puNY,Alimentary Tract and Metabolism
a0R2P000000LmoEUAS,Insulin aspart 30/70,A-00835,Novomix,Insulin aspart 30/70,Novo Nordisk,Diabetes mellitus - insulin dependent,Decision,Insulin aspart 30/70 (Novomix),/apptracker/s/application-public/a102P000008ptre,Alimentary Tract and Metabolism
a0R2P000000LmVCUA0,Insulin detemir,A-00936,,Insulin detemir,Clinician,Multiple daily injections where compliance may be an issue,Options Compared,Insulin detemir,/apptracker/s/application-public/a102P000008pty5,Alimentary Tract and Metabolism
a0R2P000000SHakUAG,Insulin detemir,A-00906,Levemir Flexpen,Insulin detemir,Novo Nordisk,Diabetes - type 1 (2nd-line LA insulin treatment),Options Compared,Insulin detemir (Levemir Flexpen),/apptracker/s/application-public/a102P000008pu4m,Alimentary Tract and Metabolism
a0R2P000000Lme5UAC,Insulin detemir,A-00935,Levemir,Insulin detemir,Clinician,"Diabetes: cystic fibrosis; insulinopaenic type 2 ;or type 2, multiple injections & hypoglycaemia",Options Compared,Insulin detemir (Levemir),/apptracker/s/application-public/a102P000008ptu0,Alimentary Tract and Metabolism
a0R2P000000LmY4UAK,Insulin lispro,A-00478,Humalog,Insulin lispro,Eli Lilly,Diabetes mellitus (Type I and  II),Decision,Insulin lispro (Humalog),/apptracker/s/application-public/a102P000008puUK,Alimentary Tract and Metabolism
a0R2P000000gVXUUA2,Insulin needle repeats,A-00560,,Insulin needle repeats,Subcommittee recommendation,Diabetes,Decision,Insulin needle repeats,/apptracker/s/application-public/a102P000008puFa,Alimentary Tract and Metabolism
a0ROZ000009J1Uf2AK,INSULIN PUMP,A-04175,DANA-i,INSULIN PUMP,INTUITIVE THERAPEUTICS LIMITED,"Diabetes, DANA insulin pumps",Decision,INSULIN PUMP (DANA-i),/apptracker/s/application-public/a10OZ000000dKoT,Alimentary Tract and Metabolism
a0ROZ000009IyWo2AK,INSULIN PUMP INFUSION SET (STEEL CANNULA),A-04034,DANA Easy Release I 29G,INSULIN PUMP INFUSION SET (STEEL CANNULA),INTUITIVE THERAPEUTICS LIMITED,"Diabetes,  DANA insulin pumps",Decision,INSULIN PUMP INFUSION SET (STEEL CANNULA) (DANA Easy Release I 29G),/apptracker/s/application-public/a10OZ000000dKYL,Alimentary Tract and Metabolism
a0ROZ000009J03y2AC,INSULIN PUMP INFUSION SET (TEFLON CANNULA),A-04124,DANA Inset ii,INSULIN PUMP INFUSION SET (TEFLON CANNULA),INTUITIVE THERAPEUTICS LIMITED,"Diabetes, DANA insulin pumps",Decision,INSULIN PUMP INFUSION SET (TEFLON CANNULA) (DANA Inset ii),/apptracker/s/application-public/a10OZ000000dKjd,Alimentary Tract and Metabolism
a0ROZ000009J1EY2A0,INSULIN PUMP RESERVOIR,A-04125,DANA 3cc Syringe,INSULIN PUMP RESERVOIR,INTUITIVE THERAPEUTICS LIMITED,"Diabetes, DANA insulin pumps",Decision,INSULIN PUMP RESERVOIR (DANA 3cc Syringe),/apptracker/s/application-public/a10OZ000000dKmr,Alimentary Tract and Metabolism
a0R2P000000d7i4UAA,iPort  - insulin injection port / cannula,A-00801,,iPort  - insulin injection port / cannula,Clinician,Diabetes (requiring treatment with insulin),Seeking Clinical Advice,iPort  - insulin injection port / cannula,/apptracker/s/application-public/a102P000008puDL,Alimentary Tract and Metabolism
a0ROZ000003LsVF2A0,Lanthanum carbonate,A-04006,Fosrenol®,Lanthanum carbonate,TAKEDA NEW ZEALAND LIMITED,"Hyperphosphataemia, CKD patients on dialysis, 2nd line after calcium",Seeking Clinical Advice,Lanthanum carbonate (Fosrenol®),/apptracker/s/application-public/a102P00000BLf1R,Alimentary Tract and Metabolism
a0ROZ000004CWY52AO,Laronidase,A-00889,,Laronidase,Clinician,Hurlers disease (Mucopolysaccharidosis 1 or MPS 1),Decision,Laronidase,/apptracker/s/application-public/a102P000008puis,Alimentary Tract and Metabolism
a0R2P000000WsqIUAS,Levocarnitine,A-00659,,Levocarnitine,Clinician,Carnitine deficiency,Decision,Levocarnitine,/apptracker/s/application-public/a102P000008pttU,Alimentary Tract and Metabolism
a0R2P000000QUbaUAG,levocarnitine,A-03190 A-00659,,levocarnitine,"PHARMACEUTICAL MANAGEMENT AGENCY LIMITED, Clinician",for inborn errors of metabolism,Decision,levocarnitine,/apptracker/s/application-public/a102P000009g8un,Alimentary Tract and Metabolism
a0ROZ00000BV8B32AL,Levofloxacin,A-00958,,Levofloxacin,Clinician,Helicobacter pylori - second line use,Reviewing Consultation Feedback,Levofloxacin,/apptracker/s/application-public/a102P000008ptpQ,Alimentary Tract and Metabolism
a0ROZ000004CPMv2AO,Linagliptin,A-01226,Trajenta,Linagliptin,Boehringer Ingelheim,Diabetes - type 2,Decision,Linagliptin (Trajenta),/apptracker/s/application-public/a102P000008puci,Alimentary Tract and Metabolism
a0ROZ00000Cn1x22AB,Liraglutide,A-04522,Saxenda,Liraglutide,Consumer,"PCOS, weight loss due to insulin resistance",Options Compared,Liraglutide (Saxenda),/apptracker/s/application-public/a102P00000BZ6Xf,Alimentary Tract and Metabolism
a0R2P000000URRLUA4,Liraglutide,A-01215,Victoza,Liraglutide,Novo Nordisk,Diabetes - type 2,Options Compared,Liraglutide (Victoza),/apptracker/s/application-public/a102P000008pu13,Alimentary Tract and Metabolism
a0ROZ00000096ML2AY,Macrogol,A-01124,Movicol,Macrogol,Norgine,Refractory constipation and faecal impaction,Decision,Macrogol (Movicol),/apptracker/s/application-public/a102P000008pueo,Alimentary Tract and Metabolism
a0R2P000000er6EUAQ,Macrogol (electrolyte-free),A-00679,,Macrogol (electrolyte-free),Subcommittee recommendation,Paediatric constipation,Under Assessment,Macrogol (electrolyte-free),/apptracker/s/application-public/a102P000008puDm,Alimentary Tract and Metabolism
a0R2P000000MgI0UAK,Magnesium sulfate 5 g in 50 ml premixed bags,A-00780,,Magnesium sulfate 5 g in 50 ml premixed bags,Clinician,seizure prophylaxis in pre-eclamptic toxaemia of pregnancy,Decision,Magnesium sulfate 5 g in 50 ml premixed bags,/apptracker/s/application-public/a102P000008puH5,Alimentary Tract and Metabolism
a0ROZ000009J1Mb2AK,Medtronic Guardian 3 and Guardian Connect continuous glucose monitoring system,A-00756,Guardian,Medtronic Guardian 3 and Guardian Connect continuous glucose monitoring system,Intermed Scientific Ltd,Type 1 diabetes,Decision,Medtronic Guardian 3 and Guardian Connect continuous glucose monitoring system (Guardian),/apptracker/s/application-public/a102P000008pueD,Alimentary Tract and Metabolism
a0ROZ00000096m92AA,Mesalazine 1g suppositories,A-01145,Pentasa,Mesalazine 1g suppositories,Pharmaco (NZ) Ltd,Ulcerative proctitis,Decision,Mesalazine 1g suppositories (Pentasa),/apptracker/s/application-public/a102P000008pua6,Alimentary Tract and Metabolism
a0R2P000000LmXMUA0,"Mesalazine, granules, 2 g sachets",A-00341 A-00340,"Asacor,Pentasa","Mesalazine, granules, 2 g sachets","Baxter, Pharmaco (NZ) Ltd",Inflammatory bowel disease and similar,Options Compared,"Mesalazine, granules, 2 g sachets (Asacor,Pentasa)",/apptracker/s/application-public/a102P000008ptyl,Alimentary Tract and Metabolism
a0R2P000000LmUBUA0,"Mesalazine, tablet, 800 mg",A-00663,,"Mesalazine, tablet, 800 mg",Pharmaco (NZ) Ltd,Open listing,Decision,"Mesalazine, tablet, 800 mg",/apptracker/s/application-public/a102P000008puLw,Alimentary Tract and Metabolism
a0ROZ000004CbzB2AS,Methylnaltrexone bromide (subcutaneous injection),A-00735,Relistor,Methylnaltrexone bromide (subcutaneous injection),Clinician,Opioid-induced constipation in hospitalised patients outside of palliative care,Decision,Methylnaltrexone bromide (subcutaneous injection) (Relistor),/apptracker/s/application-public/a102P000008puSK,Alimentary Tract and Metabolism
a0R2P000000gPF5UAM,"Methylnaltrexone, subcutaneous injection",A-00400,,"Methylnaltrexone, subcutaneous injection",Link Pharmaceuticals,Opioid-induced constipation in patients receiving palliative care,Decision,"Methylnaltrexone, subcutaneous injection",/apptracker/s/application-public/a102P000008pu6i,Alimentary Tract and Metabolism
a0ROZ0000012TQL2A2,Migalastat,A-00730,,Migalastat,Amicus,Fabry disease,Options Compared,Migalastat,/apptracker/s/application-public/a102P000008pu0n,Alimentary Tract and Metabolism
a0ROZ000004CWOP2A4,Miglustat,A-00511,,Miglustat,Te Arai Biofarma,Gaucher disease,Decision,Miglustat,/apptracker/s/application-public/a102P000008ptxw,Alimentary Tract and Metabolism
a0ROZ000004CWGL2A4,Miglustat,A-01006,Zavesca,Miglustat,Actelion,Gaucher disease - type 1 (mild to moderate),Decision,Miglustat (Zavesca),/apptracker/s/application-public/a102P000008puLv,Alimentary Tract and Metabolism
a0ROZ00000D1RBZ2A3,Miglustat,A-00729,,Miglustat,Te Arai Biofarma,Niemann Pick Type C,Options Compared,Miglustat,/apptracker/s/application-public/a102P000008ptzs,Alimentary Tract and Metabolism
a0ROZ000001rE132AE,Multivitamin and mineral boost,A-00274,,Multivitamin and mineral boost,Clinician,Burns patients (community),Decision,Multivitamin and mineral boost,/apptracker/s/application-public/a102P000008puDv,Alimentary Tract and Metabolism
a0R2P000000LmWrUAK,Multivitamin and mineral boost,A-00237,,Multivitamin and mineral boost,Clinician,Burns patients (hospital),Decision,Multivitamin and mineral boost,/apptracker/s/application-public/a102P000008ptxs,Alimentary Tract and Metabolism
a0R2P000000LmbHUAS,Multivitamin preparations,A-00621,,Multivitamin preparations,Clinician,Children with epilepsy on ketogenic diets and vitamin/mineral deficient,Decision,Multivitamin preparations,/apptracker/s/application-public/a102P000008puZO,Alimentary Tract and Metabolism
a0ROZ0000063iyk2AA,Multivitamin with trace elements,A-00639,,Multivitamin with trace elements,Clinician,"Bariatric surgery, prevention of micronutrient deficiencies",Options Compared,Multivitamin with trace elements,/apptracker/s/application-public/a102P000008puae,Alimentary Tract and Metabolism
a0R2P000000LmfYUAS,Multivitamins renal,A-01307 A-01306,Clinicians Renal Vit,Multivitamins renal,"Douglas Pharmaceuticals Ltd, Natural Health Laboratories Ltd",Chronic kidney disease stage 5 and dialysis patients,Decision,Multivitamins renal (Clinicians Renal Vit),/apptracker/s/application-public/a102P000008pu41,Alimentary Tract and Metabolism
a0R2P000000MTcQUAW,Naltrexone hydrochloride (low-dose),A-00992,,Naltrexone hydrochloride (low-dose),Consumer,Henoch-Schonlein purpura,Decision,Naltrexone hydrochloride (low-dose),/apptracker/s/application-public/a102P000008puM7,Alimentary Tract and Metabolism
a0R2P000000LmlFUAS,Nateglinide,A-01193,Starlix,Nateglinide,Novartis,Diabetes - type 2,Decision,Nateglinide (Starlix),/apptracker/s/application-public/a102P000008pukJ,Alimentary Tract and Metabolism
a0ROZ00000CZwlN2AT,Nitisinone,A-00732 A-00731,,Nitisinone,"Te Arai Biofarma, Max Health",Tyrosinaemia Type 1,Decision,Nitisinone,/apptracker/s/application-public/a102P000008ptrM,Alimentary Tract and Metabolism
a0ROZ000009J1jB2AS,Octreotide LAR,A-04332,Octreotide Depot Teva,Octreotide LAR,Clinician,"polycystic liver disease, symptomatic relief",Decision,Octreotide LAR (Octreotide Depot Teva),/apptracker/s/application-public/a102P00000BZ6SQ,Alimentary Tract and Metabolism
a0ROZ0000006gHV2AY,"Pancreatic enzymes, pediatric formulation",A-00704,Creon Micro,"Pancreatic enzymes, pediatric formulation",Mylan New Zealand Ltd,Cystic fibrosis,Decision,"Pancreatic enzymes, pediatric formulation (Creon Micro)",/apptracker/s/application-public/a102P000008ptyW,Alimentary Tract and Metabolism
a0R2P000000LmpBUAS,Partially hydrolysed guar gum,A-01196,Benefiber Clear,Partially hydrolysed guar gum,Novartis,Constipation (bulk laxative),Decision,Partially hydrolysed guar gum (Benefiber Clear),/apptracker/s/application-public/a102P000008puAy,Alimentary Tract and Metabolism
a0ROZ000000MElt2AG,Phentermine Hydrochloride (37.5mg immediate-release tab),A-01377,,Phentermine Hydrochloride (37.5mg immediate-release tab),Clinician,Obesity,Decision,Phentermine Hydrochloride (37.5mg immediate-release tab),/apptracker/s/application-public/a102P000008puKV,Alimentary Tract and Metabolism
a0R2P000000LmYtUAK,Pioglitazone,A-01175,Actos,Pioglitazone,Eli Lilly,Diabetes patients intolerant to metformin,Decision,Pioglitazone (Actos),/apptracker/s/application-public/a102P000008puVQ,Alimentary Tract and Metabolism
a0R2P000000LmcjUAC,Pioglitazone,A-01176,Actos,Pioglitazone,Eli Lilly,Diabetes combination therapy with either metformin or a sulphonylurea,Decision,Pioglitazone (Actos),/apptracker/s/application-public/a102P000008pu8c,Alimentary Tract and Metabolism
a0ROZ00000AQknr2AD,Prucalopride succinate,A-00629,,Prucalopride succinate,Clinician,Chronic slow transit constipation,Options Compared,Prucalopride succinate,/apptracker/s/application-public/a102P000008ptz8,Alimentary Tract and Metabolism
a0R2P000000Lmh1UAC,Rifaximin,A-01264,XIFAXAN,Rifaximin,NPPA,Hepatic encephalopathy - 2nd line,Decision,Rifaximin (XIFAXAN),/apptracker/s/application-public/a102P000008ptpH,Alimentary Tract and Metabolism
a0ROZ000004CWhl2AG,Sapropterin,A-00590,,Sapropterin,Te Arai Biofarma,Hyperphenylalaninaemia due to PKU in non-pregnant PKU patients,Decision,Sapropterin,/apptracker/s/application-public/a102P000008ptwR,Alimentary Tract and Metabolism
a0ROZ000003znq52AA,Sapropterin,A-00701,,Sapropterin,Te Arai Biofarma,Phenylketonuria (PKU),Options Compared,Sapropterin,/apptracker/s/application-public/a102P000008puXt,Alimentary Tract and Metabolism
a0R2P000000aneYUAQ,Saxagliptin,A-01072,Onglyza,Saxagliptin,AstraZeneca,Diabetes - type 2,Decision,Saxagliptin (Onglyza),/apptracker/s/application-public/a102P000008puXE,Alimentary Tract and Metabolism
a0ROZ00000Crzfy2AB,Semaglutide,A-05499,Wegovy,Semaglutide,NOVO NORDISK PHARMACEUTICALS LIMITED,"Chronic weight management, Body Mass Index (BMI) ≥30 kg/m2, with at least one weight-related comorbidity",Seeking Clinical Advice,Semaglutide (Wegovy),/apptracker/s/application-public/a10OZ000006OUj3,Alimentary Tract and Metabolism
a0R2P000000Lmf7UAC,Sibutramine,A-01135,Reductil,Sibutramine,Abbott,Obesity,Decision,Sibutramine (Reductil),/apptracker/s/application-public/a102P000008ptvB,Alimentary Tract and Metabolism
a0R2P000000anWAUAY,Sitagliptin,A-00818,Januvia,Sitagliptin,Merck Sharp & Dohme,Diabetes - type 2,Decision,Sitagliptin (Januvia),/apptracker/s/application-public/a102P000008pu1W,Alimentary Tract and Metabolism
a0R2P000000anWoUAI,Sitagliptin and metformin,A-00991,Janumet,Sitagliptin and metformin,Merck Sharp & Dohme,Diabetes - Type 2,Decision,Sitagliptin and metformin (Janumet),/apptracker/s/application-public/a102P000008pu3L,Alimentary Tract and Metabolism
a0R2P000000LmYPUA0,Sodium benzoate,A-01340,,Sodium benzoate,NPPA,Urea cycle disorder,Decision,Sodium benzoate,/apptracker/s/application-public/a102P000008puQe,Alimentary Tract and Metabolism
a0R2P000000Lmr9UAC,Sodium phenylbutyrate,A-00502,,Sodium phenylbutyrate,Max Health,Urea cycle disorders,Decision,Sodium phenylbutyrate,/apptracker/s/application-public/a102P000008puL4,Alimentary Tract and Metabolism
a0R2P000000SBk4UAG,Sodium picosulfate liquid,A-01449,Ducolax Pico Liquid,Sodium picosulfate liquid,Clinician,Constipation in children,Decision,Sodium picosulfate liquid (Ducolax Pico Liquid),/apptracker/s/application-public/a102P000008pttV,Alimentary Tract and Metabolism
a0ROZ000001Uvpt2AC,Tacrolimus suppository,A-00603,,Tacrolimus suppository,Clinician,Rectal inflammation due to inflammatory bowel disease,Decision,Tacrolimus suppository,/apptracker/s/application-public/a102P000008ptpC,Alimentary Tract and Metabolism
a0ROZ0000007YBR2A2,Taliglucerase alfa,A-00526,,Taliglucerase alfa,Pfizer,Gaucher disease,Decision,Taliglucerase alfa,/apptracker/s/application-public/a102P000008puav,Alimentary Tract and Metabolism
a0ROZ000007jPEL2A2,Teduglutide,A-00733 A-04531,,Teduglutide,"Takeda (Shire), Clinician",Short bowel syndrome intestinal failure for adults,Options Compared,Teduglutide,/apptracker/s/application-public/a102P000008puRo,Alimentary Tract and Metabolism
a0ROZ00000DXZ7Z2AX,Tirzepatide (with diet and exercise),A-05340,MOUNJARO®,Tirzepatide (with diet and exercise),ELI LILLY AND COMPANY (NZ) LIMITED,"Diabetes mellitus, type 2, insufficiently controlled",Under Assessment,Tirzepatide (with diet and exercise) (MOUNJARO®),/apptracker/s/application-public/a10OZ000004jPHh,Alimentary Tract and Metabolism
a0ROZ000003dstF2AQ,Trientine Dihydrochloride,A-01258,,Trientine Dihydrochloride,NPPA,Wilson disease (hospital use),Decision,Trientine Dihydrochloride,/apptracker/s/application-public/a102P000008ptsq,Alimentary Tract and Metabolism
a0ROZ000008BTbZ2AW,Upadacitinib,A-04329 A-04450,RINVOQ®,Upadacitinib,"ABBVIE LIMITED, Clinician",Second line treatment of moderate to severe ulcerative colitis,Decision,Upadacitinib (RINVOQ®),/apptracker/s/application-public/a102P00000BTnki,Alimentary Tract and Metabolism
a0ROZ00000DKzRG2A1,Upadacitinib,A-04484 A-05206,RINVOQ®,Upadacitinib,"ABBVIE LIMITED, Clinician",Second line treatment of severe Crohn disease,Decision,Upadacitinib (RINVOQ®),/apptracker/s/application-public/a102P00000BZ6Rw,Alimentary Tract and Metabolism
a0ROZ00000DL1bA2AT,Upadacitinib,A-04484 A-05206,RINVOQ,Upadacitinib,"ABBVIE LIMITED, Clinician","Crohn's disease, severe, 1st line biologic",Options Compared,Upadacitinib (RINVOQ),/apptracker/s/application-public/a10OZ000000ul13,Alimentary Tract and Metabolism
a0R2P000000g58oUAA,Ustekinumab,A-03232,STELARA®,Ustekinumab,JANSSEN NZ LIMITED,"Ulcerative colitis, moderate to severe, 2nd line after infliximab",Decision,Ustekinumab (STELARA®),/apptracker/s/application-public/a102P000009nuvf,Alimentary Tract and Metabolism
a0ROZ000003RQeE2AW,Ustekinumab,A-04504,STELARA,Ustekinumab,JANSSEN NZ LIMITED,"Crohn's disease and ulcerative colitis, moderate to severe, 1st line",Under Assessment,Ustekinumab (STELARA),/apptracker/s/application-public/a102P00000BXdHw,Alimentary Tract and Metabolism
a0ROZ0000007tW12AI,Ustekinumab,A-00565,Stelara,Ustekinumab,Janssen,"Crohn's disease, severe, 3rd line after infliximab and adalimumab",Decision,Ustekinumab (Stelara),/apptracker/s/application-public/a102P000009NExW,Alimentary Tract and Metabolism
a0R2P000000gAbQUAU,Vedolizumab,A-00741,,Vedolizumab,Clinician application,"Crohn's disease, severe, 2nd line after infliximab and/or adalimumab",Decision,Vedolizumab,/apptracker/s/application-public/a102P000008puSt,Alimentary Tract and Metabolism
a0ROZ00000BP6C32AL,Vedolizumab SC,A-05280,ENTYVIO®,Vedolizumab SC,TAKEDA NEW ZEALAND LIMITED,"Ulcerative colitis and Crohn's disease, Maintenance therapy",Seeking Clinical Advice,Vedolizumab SC (ENTYVIO®),/apptracker/s/application-public/a10OZ000005XBTF,Alimentary Tract and Metabolism
a0R2P000000TGSDUA4,Velaglucerase alfa,A-00424,,Velaglucerase alfa,Takeda (Shire),Gaucher disease,Decision,Velaglucerase alfa,/apptracker/s/application-public/a102P000008puP6,Alimentary Tract and Metabolism
a0R2P000000LmVqUAK,Vildagliptin,A-00907,Galvus,Vildagliptin,Novartis,Diabetes - type 2,Decision,Vildagliptin (Galvus),/apptracker/s/application-public/a102P000008ptwJ,Alimentary Tract and Metabolism
a0R2P000000LmrSUAS,Vitamin D-only preparation,A-01413,,Vitamin D-only preparation,Clinician,"Rickets, treatment in infants",Decision,Vitamin D-only preparation,/apptracker/s/application-public/a102P000008puFk,Alimentary Tract and Metabolism
a0R2P000000LmbhUAC,Vitamin D-only preparation,A-01446,,Vitamin D-only preparation,Clinician,"Rickets, prophylaxis - administration to pregnant women or infants",Decision,Vitamin D-only preparation,/apptracker/s/application-public/a102P000008puaz,Alimentary Tract and Metabolism
a0ROZ0000006gz32AA,Vitamin D-only preparation,A-01355,,Vitamin D-only preparation,Clinician,"Rickets, prophylaxis for high-risk infants - administration to pregnant women and/or infants",Decision,Vitamin D-only preparation,/apptracker/s/application-public/a102P000008puST,Alimentary Tract and Metabolism
a0R2P000000LmXUUA0,"Vitamins, fat soluble vitamins",A-00337,Vitabdeck,"Vitamins, fat soluble vitamins",Subcommittee recommendation,"Malabsorption syndrome, severe",Decision,"Vitamins, fat soluble vitamins (Vitabdeck)",/apptracker/s/application-public/a102P000008puW7,Alimentary Tract and Metabolism
a0R2P000000LmX4UAK,Sacubitril with valsartan,A-00540,,Sacubitril with valsartan,Novartis,Heart failure with reduced ejection fraction NYHA III-IV,Decision,Sacubitril with valsartan,/apptracker/s/application-public/a102P000008ptyi,Cardiovascular System
a0R2P000000LmfaUAC,Sacubitril with valsartan,A-00632,,Sacubitril with valsartan,Novartis,Heart failure with reduced ejection fraction NYHA II-IV,Decision,Sacubitril with valsartan,/apptracker/s/application-public/a102P000008ptof,Cardiovascular System
a0R2P000000LmTgUAK,Valsartan,A-00882,Diovan,Valsartan,Novartis,Hypertension and CHF,Decision,Valsartan (Diovan),/apptracker/s/application-public/a102P000008puMY,Cardiovascular System
a0R2P000000LmbnUAC,Valsartan with hydrochlorothiazide,A-00883,Co-Diovan,Valsartan with hydrochlorothiazide,Novartis,Hypertension and CHF,Decision,Valsartan with hydrochlorothiazide (Co-Diovan),/apptracker/s/application-public/a102P000008pubF,Cardiovascular System
a0R2P000000MTd9UAG,Aliskiren,A-00911,Rasilez,Aliskiren,Novartis,Hypertension,Decision,Aliskiren (Rasilez),/apptracker/s/application-public/a102P000008puWr,Cardiovascular System
a0ROZ000000Ahjd2AC,"Alprostadil, 10 mcg or 20 mcg injections",A-01423,,"Alprostadil, 10 mcg or 20 mcg injections",Clinician,Penile Doppler exam,Decision,"Alprostadil, 10 mcg or 20 mcg injections",/apptracker/s/application-public/a102P000008puC4,Cardiovascular System
a0R2P000000LmUXUA0,Ambrisentan,A-00910,Volibris,Ambrisentan,GlaxoSmithKline,Pulmonary arterial hypertension,Decision,Ambrisentan (Volibris),/apptracker/s/application-public/a102P000008puNW,Cardiovascular System
a0R2P000000LmluUAC,Amiloride tablets,A-01229,,Amiloride tablets,NPPA,Re-listing,Decision,Amiloride tablets,/apptracker/s/application-public/a102P000008puiS,Cardiovascular System
a0ROZ0000024ZJ12AM,"Aspirin, atorvastatin, and ramipril combination pill",A-00420,Trinomia FDC polypill,"Aspirin, atorvastatin, and ramipril combination pill",Te Arai Biofarma,Secondary prevention of cardiovascular events,Options Compared,"Aspirin, atorvastatin, and ramipril combination pill (Trinomia FDC polypill)",/apptracker/s/application-public/a102P000008puCm,Cardiovascular System
a0R2P000000LmomUAC,Atenolol oral liquid,A-01275,,Atenolol oral liquid,NPPA,Patients unable to take oral tablets,Decision,Atenolol oral liquid,/apptracker/s/application-public/a102P000008pu37,Cardiovascular System
a0R2P000000LmiIUAS,Bosentan,A-01312,Tracleer,Bosentan,Clinician,Pulmonary artery hypertension - paediatric patients,Decision,Bosentan (Tracleer),/apptracker/s/application-public/a102P000008puDZ,Cardiovascular System
a0R2P000000LmXmUAK,Bosentan,A-00867,Tracleer,Bosentan,Actelion,Pulmonary Arterial Hypertension,Decision,Bosentan (Tracleer),/apptracker/s/application-public/a102P000008puXT,Cardiovascular System
a0R2P000000anRUUAY,Bumetanide oral suspension,A-01304,,Bumetanide oral suspension,NPPA,Complex congenital heart disease,Decision,Bumetanide oral suspension,/apptracker/s/application-public/a102P000008ptum,Cardiovascular System
a0R2P000000Lmm5UAC,Candesartan cilexetil,A-00126,Atacand,Candesartan cilexetil,AstraZeneca,Heart failure - widening access to allow combination with an ACE,Decision,Candesartan cilexetil (Atacand),/apptracker/s/application-public/a102P000008pujx,Cardiovascular System
a0R2P000000LmYRUA0,Candesartan cilexetil,A-01167,Atacand,Candesartan cilexetil,AstraZeneca,Hypertension,Decision,Candesartan cilexetil (Atacand),/apptracker/s/application-public/a102P000008puWe,Cardiovascular System
a0ROZ0000007j6r2AA,Candesartan cilexetil,A-00353,Candestar,Candesartan cilexetil,Subcommittee recommendation,Use in patients with ACE inhibitor intolerance,Decision,Candesartan cilexetil (Candestar),/apptracker/s/application-public/a102P000008pucj,Cardiovascular System
a0R2P000000OceaUAC,Candesartan with hydrochlorothiazide,A-00268,,Candesartan with hydrochlorothiazide,Clinician,Cardiovascular,Decision,Candesartan with hydrochlorothiazide,/apptracker/s/application-public/a102P000008puVh,Cardiovascular System
